Nilai,Kurs Jual,Kurs Beli,Tanggal
1,"15.082,03","14.931,97",18/07/2023
1,"15.019,73","14.870,27",17/07/2023
1,"15.052,89","14.903,11",14/07/2023
1,"15.159,42","15.008,58",13/07/2023
1,"15.237,81","15.086,19",12/07/2023
1,"15.267,96","15.116,04",11/07/2023
1,"15.211,68","15.060,32",10/07/2023
1,"15.137,31","14.986,69",07/07/2023
1,"15.088,07","14.937,93",06/07/2023
1,"15.093,09","14.942,91",05/07/2023
1,"15.109,17","14.958,83",04/07/2023
1,"15.075,00","14.925,00",03/07/2023
1,"15.101,13","14.950,87",27/06/2023
1,"15.072,99","14.923,01",26/06/2023
1,"14.992,59","14.843,41",23/06/2023
1,"15.056,91","14.907,09",22/06/2023
1,"15.115,20","14.964,80",21/06/2023
1,"15.068,97","14.919,03",20/06/2023
1,"15.019,73","14.870,27",19/06/2023
1,"15.017,72","14.868,28",16/06/2023
1,"14.969,48","14.820,52",15/06/2023
1,"14.942,34","14.793,66",14/06/2023
1,"14.948,37","14.799,63",13/06/2023
1,"14.927,26","14.778,74",12/06/2023
1,"14.977,51","14.828,49",09/06/2023
1,"14.949,38","14.800,63",08/06/2023
1,"14.913,19","14.764,81",07/06/2023
1,"14.962,44","14.813,56",06/06/2023
1,"15.078,01","14.927,99",05/06/2023
1,"15.043,84","14.894,16",31/05/2023
1,"15.047,86","14.898,14",30/05/2023
1,"15.033,80","14.884,20",29/05/2023
1,"15.026,76","14.877,24",26/05/2023
1,"14.979,52","14.830,48",25/05/2023
1,"14.952,39","14.803,61",24/05/2023
1,"14.971,49","14.822,51",23/05/2023
1,"15.010,68","14.861,32",22/05/2023
1,"14.949,38","14.800,63",19/05/2023
1,"14.884,05","14.735,95",17/05/2023
1,"14.886,06","14.737,94",16/05/2023
1,"14.825,76","14.678,24",15/05/2023
1,"14.795,61","14.648,39",12/05/2023
1,"14.819,73","14.672,27",11/05/2023
1,"14.830,78","14.683,22",10/05/2023
1,"14.782,55","14.635,45",09/05/2023
1,"14.747,37","14.600,63",08/05/2023
1,"14.705,16","14.558,84",05/05/2023
1,"14.779,53","14.632,47",04/05/2023
1,"14.776,51","14.629,49",03/05/2023
1,"14.734,31","14.587,69",02/05/2023
1,"14.824,75","14.677,25",28/04/2023
1,"14.956,41","14.807,59",27/04/2023
1,"14.929,27","14.780,73",26/04/2023
1,"14.846,86","14.699,14",18/04/2023
1,"14.739,33","14.592,67",17/04/2023
1,"14.865,96","14.718,04",14/04/2023
1,"14.940,33","14.791,67",13/04/2023
1,"14.962,44","14.813,56",12/04/2023
1,"14.979,52","14.830,48",11/04/2023
1,"15.017,72","14.868,28",10/04/2023
1,"15.007,67","14.858,33",06/04/2023
1,"14.987,57","14.838,43",05/04/2023
1,"15.064,95","14.915,05",04/04/2023
1,"15.051,89","14.902,11",03/04/2023
1,"15.137,31","14.986,69",31/03/2023
1,"15.169,47","15.018,53",30/03/2023
1,"15.163,44","15.012,56",29/03/2023
1,"15.249,87","15.098,13",28/03/2023
1,"15.264,94","15.113,06",27/03/2023
1,"15.425,75","15.272,25",24/03/2023
1,"15.448,86","15.295,14",21/03/2023
1,"15.440,82","15.287,18",20/03/2023
1,"15.495,09","15.340,91",17/03/2023
1,"15.441,83","15.288,17",16/03/2023
1,"15.456,90","15.303,10",15/03/2023
1,"15.450,87","15.297,13",14/03/2023
1,"15.545,34","15.390,66",13/03/2023
1,"15.515,19","15.360,81",10/03/2023
1,"15.528,25","15.373,75",09/03/2023
1,"15.435,80","15.282,20",08/03/2023
1,"15.377,50","15.224,50",07/03/2023
1,"15.382,53","15.229,47",06/03/2023
1,"15.349,36","15.196,64",03/03/2023
1,"15.326,25","15.173,75",02/03/2023
1,"15.316,20","15.163,80",01/03/2023
1,"15.350,37","15.197,63",28/02/2023
1,"15.292,08","15.139,92",27/02/2023
1,"15.262,93","15.111,07",24/02/2023
1,"15.294,09","15.141,91",23/02/2023
1,"15.254,90","15.103,10",22/02/2023
1,"15.243,84","15.092,16",21/02/2023
1,"15.275,00","15.123,00",20/02/2023
1,"15.251,88","15.100,12",17/02/2023
1,"15.269,97","15.118,03",16/02/2023
1,"15.243,84","15.092,16",15/02/2023
1,"15.292,08","15.139,92",14/02/2022
1,"15.215,70","15.064,30",13/02/2023
1,"15.195,60","15.044,40",10/02/2023
1,"15.197,61","15.046,39",09/02/2023
1,"15.214,69","15.063,31",08/02/2023
1,"15.130,27","14.979,73",07/02/2023
1,"14.972,49","14.823,51",06/02/2023
1,"14.942,34","14.793,66",03/02/2023
1,"15.065,95","14.916,05",02/02/2023
1,"15.066,96","14.917,04",01/02/2023
1,"15.053,90","14.904,10",31/01/2023
1,"15.052,89","14.903,11",30/01/2023
1,"15.038,82","14.889,18",27/01/2023
1,"15.032,79","14.883,21",26/01/2023
1,"15.004,65","14.855,35",25/01/2023
1,"15.196,60","15.045,40",24/01/2023
1,"15.188,57","15.037,43",20/01/2023
1,"15.212,68","15.061,32",19/01/2023
1,"15.229,77","15.078,23",18/01/2023
1,"15.094,09","14.943,91",17/01/2023
1,"15.252,89","15.101,11",16/01/2023
1,"15.442,83","15.289,17",13/01/2023
1,"15.604,64","15.449,36",12/01/2023
1,"15.666,94","15.511,06",11/01/2023
1,"15.651,87","15.496,13",10/01/2023
1,"15.713,17","15.556,83",09/01/2023
1,"15.688,05","15.531,95",06/01/2023
1,"15.693,08","15.536,92",05/01/2023
1,"15.667,95","15.512,05",04/01/2023
1,"15.649,86","15.494,14",03/01/2023
1,"15.669,96","15.514,04",02/01/2023
1,"15.809,66","15.652,34",30/12/2022
1,"15.781,51","15.624,49",29/12/2022
1,"15.737,30","15.580,70",28/12/2022
1,"15.714,18","15.557,82",27/12/2022
1,"15.683,02","15.526,98",26/12/2022
1,"15.671,97","15.516,03",23/12/2022
1,"15.679,00","15.523,00",22/12/2022
1,"15.686,04","15.529,96",21/12/2022
1,"15.699,10","15.542,90",20/12/2022
1,"15.695,08","15.538,92",19/12/2022
1,"15.708,15","15.551,85",16/12/2022
1,"15.697,09","15.540,91",15/12/2022
1,"15.739,31","15.582,69",14/12/2022
1,"15.720,21","15.563,79",13/12/2022
1,"15.664,93","15.509,07",12/12/2022
1,"15.702,12","15.545,88",09/12/2022
1,"15.697,09","15.540,91",08/12/2022
1,"15.653,88","15.498,12",07/12/2022
1,"15.486,05","15.331,95",06/12/2022
1,"15.506,15","15.351,85",05/12/2022
1,"15.695,08","15.538,92",02/12/2022
1,"15.820,71","15.663,29",01/12/2022
1,"15.815,68","15.658,32",30/11/2022
1,"15.807,65","15.650,35",29/11/2022
1,"15.746,34","15.589,66",28/11/2022
1,"15.725,24","15.568,76",25/11/2022
1,"15.778,50","15.621,50",24/11/2022
1,"15.794,58","15.637,42",23/11/2022
1,"15.785,53","15.628,47",22/11/2022
1,"15.770,46","15.613,54",21/11/2022
1,"15.765,43","15.608,57",18/11/2022
1,"15.688,05","15.531,95",17/11/2022
1,"15.641,82","15.486,18",16/11/2022
1,"15.576,50","15.421,50",15/11/2022
1,"15.570,47","15.415,53",14/11/2022
1,"15.779,50","15.622,50",11/11/2022
1,"15.732,27","15.575,73",10/11/2022
1,"15.762,42","15.605,58",09/11/2022
1,"15.770,46","15.613,54",08/11/2022
1,"15.814,68","15.657,32",07/11/2022
1,"15.759,41","15.602,59",04/11/2022
1,"15.730,26","15.573,74",03/11/2022
1,"15.725,24","15.568,76",02/11/2022
1,"15.673,98","15.518,02",01/11/2022
1,"15.619,71","15.464,29",31/10/2022
1,"15.650,86","15.495,14",28/10/2022
1,"15.673,98","15.518,02",27/10/2022
1,"15.694,08","15.537,92",26/10/2022
1,"15.667,95","15.512,05",25/10/2022
1,"15.688,05","15.531,95",24/10/2022
1,"15.656,90","15.501,10",21/10/2022
1,"15.568,45","15.413,55",20/10/2022
1,"15.546,34","15.391,66",19/10/2022
1,"15.557,40","15.402,60",18/10/2022
1,"15.466,95","15.313,05",17/10/2022
1,"15.433,78","15.280,22",14/10/2022
1,"15.449,86","15.296,14",13/10/2022
1,"15.438,81","15.285,19",12/10/2022
1,"15.375,50","15.222,50",11/10/2022
1,"15.322,23","15.169,77",10/10/2022
1,"15.272,99","15.121,01",07/10/2022
1,"15.271,98","15.120,02",06/10/2022
1,"15.352,38","15.199,62",05/10/2022
1,"15.369,47","15.216,53",04/10/2022
1,"15.308,16","15.155,84",03/10/2022
1,"15.323,24","15.170,76",30/09/2022
1,"15.319,22","15.166,78",29/09/2022
1,"15.230,77","15.079,23",28/09/2022
1,"15.194,59","15.043,41",27/09/2022
1,"15.110,17","14.959,83",26/09/2022
1,"15.108,17","14.957,83",23/09/2022
1,"15.086,06","14.935,94",22/09/2022
1,"15.049,88","14.900,13",21/09/2022
1,"15.054,90","14.905,10",20/09/2022
1,"15.013,69","14.864,31",19/09/2022
1,"14.973,50","14.824,50",16/09/2022
1,"14.997,61","14.848,39",15/09/2022
1,"14.935,31","14.786,69",14/09/2022
1,"14.913,19","14.764,81",13/09/2022
1,"14.920,23","14.771,77",12/09/2022
1,"14.979,52","14.830,48",09/09/2022
1,"15.001,64","14.852,36",08/09/2022
1,"14.959,42","14.810,58",07/09/2022
1,"14.994,60","14.845,40",06/09/2022
1,"14.974,50","14.825,50",05/09/2022
1,"14.958,42","14.809,58",02/09/2022
1,"14.927,26","14.778,74",01/09/2022
1,"14.949,38","14.800,63",31/08/2022
1,"14.961,43","14.812,57",30/08/2022
1,"14.888,07","14.739,93",29/08/2022
1,"14.901,14","14.752,86",26/08/2022
1,"14.925,25","14.776,75",25/08/2022
1,"14.967,47","14.818,53",24/08/2022
1,"14.956,41","14.807,59",23/08/2022
1,"14.932,29","14.783,71",22/08/2022
1,"14.896,11","14.747,89",19/08/2022
1,"14.840,83","14.693,17",18/08/2022
1,"14.800,64","14.653,36",16/08/2022
1,"14.761,44","14.614,56",15/08/2022
1,"14.873,00","14.725,00",12/08/2022
1,"14.949,38","14.800,63",11/08/2022
1,"14.936,31","14.787,69",10/08/2022
1,"14.989,58","14.840,42",09/08/2022
1,"14.978,52","14.829,48",08/08/2022
1,"15.003,65","14.854,35",05/08/2022
1,"14.991,58","14.842,42",04/08/2022
1,"14.962,44","14.813,56",03/08/2022
1,"14.948,37","14.799,63",02/08/2022
1,"14.934,30","14.785,70",01/08/2022
1,"15.032,79","14.883,21",29/07/2022
1,"15.095,10","14.944,90",28/07/2022
1,"15.058,92","14.909,08",27/07/2022
1,"15.066,96","14.917,04",26/07/2022
1,"15.099,12","14.948,88",25/07/2022
1,"15.092,08","14.941,92",22/07/2022
1,"15.058,92","14.909,08",21/07/2022
1,"15.066,96","14.917,04",20/07/2022
1,"15.060,93","14.911,07",19/07/2022
1,"15.074,00","14.924,00",18/07/2022
1,"15.074,00","14.924,00",15/07/2022
1,"15.059,92","14.910,08",14/07/2022
1,"15.067,97","14.918,03",13/07/2022
1,"15.043,84","14.894,16",12/07/2022
1,"15.055,91","14.906,10",11/07/2022
1,"15.060,93","14.911,07",08/07/2022
1,"15.090,08","14.939,93",07/07/2022
1,"15.064,95","14.915,05",06/07/2022
1,"15.034,80","14.885,20",05/07/2022
1,"15.030,78","14.881,22",04/07/2022
1,"14.956,41","14.807,59",01/07/2022
1,"14.922,24","14.773,76",30/06/2022
1,"14.911,19","14.762,82",29/06/2022
1,"14.876,01","14.727,99",28/06/2022
1,"14.920,23","14.771,77",27/06/2022
1,"14.909,18","14.760,83",24/06/2022
1,"14.934,30","14.785,70",23/06/2022
1,"14.878,02","14.729,98",22/06/2022
1,"14.910,18","14.761,82",21/06/2022
1,"14.902,14","14.753,86",20/06/2022
1,"14.814,71","14.667,30",17/06/2022
1,"14.819,73","14.672,27",16/06/2022
1,"14.802,65","14.655,36",15/06/2022
1,"14.745,36","14.598,64",14/06/2022
1,"14.641,85","14.496,16",13/06/2022
1,"14.627,78","14.482,23",10/06/2022
1,"14.549,39","14.404,62",09/06/2022
1,"14.536,32","14.391,68",08/06/2022
1,"14.534,31","14.389,69",07/06/2022
1,"14.503,16","14.358,85",06/06/2022
1,"14.598,63","14.453,37",03/06/2022
1,"14.664,96","14.519,04",02/06/2022
1,"14.616,72","14.471,28",31/05/2022
1,"14.650,89","14.505,11",30/05/2022
1,"14.718,23","14.571,78",27/05/2022
1,"14.726,27","14.579,74",25/05/2022
1,"14.738,33","14.591,68",24/05/2022
1,"14.734,31","14.587,70",23/05/2022
1,"14.804,66","14.657,35",20/05/2022
1,"14.755,41","14.608,59",19/05/2022
1,"14.724,26","14.577,75",18/05/2022
1,"14.692,10","14.545,91",17/05/2022
1,"14.657,93","14.512,08",13/05/2022
1,"14.618,73","14.473,27",12/05/2022
1,"14.618,73","14.473,27",11/05/2022
1,"14.606,67","14.461,33",10/05/2022
1,"14.552,40","14.407,60",09/05/2022
1,"14.490,09","14.345,91",28/04/2022
1,"14.484,06","14.339,94",27/04/2022
1,"14.524,26","14.379,74",26/04/2022
1,"14.432,81","14.289,20",25/04/2022
1,"14.419,74","14.276,26",22/04/2022
1,"14.422,76","14.279,25",21/04/2022
1,"14.418,74","14.275,27",20/04/2022
1,"14.427,78","14.284,22",19/04/2022
1,"14.420,75","14.277,26",18/04/2022
1,"14.430,80","14.287,21",14/04/2022
1,"14.435,82","14.292,18",13/04/2022
1,"14.441,85","14.298,15",12/04/2022
1,"14.436,83","14.293,18",11/04/2022
1,"14.430,80","14.287,21",08/04/2022
1,"14.435,82","14.292,18",07/04/2022
1,"14.419,74","14.276,26",06/04/2022
1,"14.433,81","14.290,19",05/04/2022
1,"14.435,82","14.292,18",04/04/2022
1,"14.428,79","14.285,22",01/04/2022
1,"14.420,75","14.277,26",31/03/2022
1,"14.435,82","14.292,18",30/03/2022
1,"14.431,80","14.288,20",29/03/2022
1,"14.412,71","14.269,30",28/03/2022
1,"14.432,81","14.289,20",25/03/2022
1,"14.422,76","14.279,25",24/03/2022
1,"14.429,79","14.286,21",23/03/2022
1,"14.412,71","14.269,30",22/03/2022
1,"14.411,70","14.268,30",21/03/2022
1,"14.361,45","14.218,55",18/03/2022
1,"14.382,56","14.239,45",17/03/2022
1,"14.392,61","14.249,40",16/03/2022
1,"14.399,64","14.256,36",15/03/2022
1,"14.377,53","14.234,47",14/03/2022
1,"14.369,49","14.226,51",11/03/2022
1,"14.442,86","14.299,15",10/03/2022
1,"14.465,97","14.322,03",09/03/2022
1,"14.483,06","14.338,95",08/03/2022
1,"14.454,92","14.311,09",07/03/2022
1,"14.444,87","14.301,14",04/03/2022
1,"14.421,75","14.278,25",02/03/2022
1,"14.440,85","14.297,16",01/03/2022
1,"14.442,86","14.299,15",25/02/2022
1,"14.426,78","14.283,23",24/02/2022
1,"14.433,81","14.290,19",23/02/2022
1,"14.400,65","14.257,36",22/02/2022
1,"14.410,70","14.267,31",21/02/2022
1,"14.372,51","14.229,50",18/02/2022
1,"14.349,39","14.206,61",17/02/2022
1,"14.363,46","14.220,54",16/02/2022
1,"14.409,69","14.266,31",15/02/2022
1,"14.430,80","14.287,21",14/02/2022
1,"14.415,72","14.272,28",11/02/2022
1,"14.437,83","14.294,17",10/02/2022
1,"14.456,93","14.313,08",09/02/2022
1,"14.476,02","14.331,98",08/02/2022
1,"14.447,88","14.304,12",07/02/2022
1,"14.452,91","14.309,10",04/02/2022
1,"14.418,74","14.275,27",03/02/2022
1,"14.463,96","14.320,04",02/02/2022
1,"14.452,91","14.309,10",31/01/2022